USER_ID,ITEM_ID,INTERACTION_TYPE,INTERACTION_TIMESTAMP
user_1,item_1001,purchase,1701436800
user_1,item_1002,purchase,1701437400
user_2,item_1003,purchase,1701437700
user_2,item_1004,click,1701438000
user_3,item_1005,purchase,1701438600
user_4,item_1006,click,1701439500
user_5,item_1007,purchase,1701440400
user_6,item_1008,click,1701441000
user_6,item_1009,click,1701441120
user_7,item_1010,purchase,1701441600
user_8,item_1011,purchase,1701442200
user_8,item_1012,click,1701442500
user_9,item_1013,purchase,1701442800
user_9,item_1014,click,1701443100
user_10,item_1015,purchase,1701443400
user_10,item_1016,click,1701443700
user_11,item_1017,purchase,1701444000
user_11,item_1018,click,1701444300
user_12,item_1019,purchase,1701444600
user_13,item_1020,click,1701444900
user_14,item_1021,purchase,1701445200
user_15,item_1022,click,1701445500
user_15,item_1023,purchase,1701445800
user_16,item_1024,click,1701446100
user_17,item_1025,purchase,1701446400
user_18,item_1026,purchase,1701446700
user_19,item_1027,click,1701447000
user_20,item_1028,purchase,1701447600
user_21,item_1029,click,1701447900
user_22,item_1030,purchase,1701448200
user_22,item_1031,click,1701448500
user_23,item_1032,purchase,1701448800
user_24,item_1033,click,1701449400
user_25,item_1034,purchase,1701450000
user_26,item_1035,click,1701450600
user_27,item_1036,purchase,1701451200
user_28,item_1037,click,1701451300
user_29,item_1038,purchase,1701451500
user_30,item_1039,click,1701451600
user_31,item_1040,purchase,1701451800
user_32,item_1041,click,1701452000
user_33,item_1042,purchase,1701452400
user_34,item_1043,click,1701452700
user_35,item_1044,purchase,1701453000
user_36,item_1045,click,1701453600
user_37,item_1046,purchase,1701454200
user_38,item_1047,click,1701454300
user_39,item_1048,purchase,1701454500
user_40,item_1049,click,1701454800
user_41,item_1050,purchase,1701455100
user_42,item_1051,click,1701455300
user_43,item_1052,purchase,1701455600
user_44,item_1053,click,1701456000
user_45,item_1054,purchase,1701456300
user_46,item_1055,click,1701456600
user_47,item_1056,purchase,1701456900
user_48,item_1057,click,1701457100
user_49,item_1058,purchase,1701457400
user_50,item_1059,click,1701457500
user_51,item_1060,purchase,1701457800
user_52,item_1061,click,1701458100
user_53,item_1062,purchase,1701458400
user_54,item_1063,click,1701458700
user_55,item_1064,purchase,1701459000
user_56,item_1065,click,1701459300
user_57,item_1066,purchase,1701459600
user_58,item_1067,click,1701459900
user_59,item_1068,purchase,1701460200
user_60,item_1069,click,1701460500
user_61,item_1070,purchase,1701460800
user_62,item_1071,click,1701461100
user_63,item_1072,purchase,1701461400
user_64,item_1073,click,1701461700
user_65,item_1074,purchase,1701462000
user_66,item_1075,click,1701462300
user_67,item_1076,purchase,1701462600
user_68,item_1077,click,1701462900
user_69,item_1078,purchase,1701463200
user_70,item_1079,click,1701463500
user_71,item_1080,purchase,1701463800
user_72,item_1081,click,1701464100
user_73,item_1082,purchase,1701464400
user_74,item_1083,click,1701464700
user_75,item_1084,purchase,1701465000
user_76,item_1085,click,1701465300
user_77,item_1086,purchase,1701465600
user_78,item_1087,click,1701465900
user_79,item_1088,purchase,1701466200
user_80,item_1089,click,1701466500
user_81,item_1090,purchase,1701466800
user_82,item_1091,click,1701467100
user_83,item_1092,purchase,1701467400
user_84,item_1093,click,1701467700
user_85,item_1094,purchase,1701468000
user_86,item_1095,click,1701468300
user_87,item_1096,purchase,1701468600
user_88,item_1097,click,1701468900
user_89,item_1098,purchase,1701469200
user_90,item_1099,click,1701469500
